SessionID,Condition,ClientID,SurveyID,ConditionOrder,SubjectID,Treatment,Age,Gender,Handedness,FirstLanguage,EnglishAbilities,ColorVision,Major,ProductiveTime_08to10,ProductiveTime_10to12,ProductiveTime_12to14,ProductiveTime_14to16,ProductiveTime_16to18,ProductiveTime_18to20,valence,arousal,importanceImportant,importanceNoMistakes,importanceWorried,flowProne.General,flowProne.Work,flowProne.Maint,flowProne.Leis,eqIntrusDistracting,eqIntrusDifficult,eqIntrusDiscomfort,taskPrefLikeMath,taskPrefLikeWrit,taskPrefMathOverWrit,traitIntMot,interactionDissatisfactionUnpleasant,interactionDissatisfactionLongerWorse,interactionDissatisfactionEnergizing,interactionDissatisfactionBadCorrection,relationQuality,grpEffort,interdepOwnJob,interdepCommRequired,interdepMutualDependenc,clearGoal,challGoal,noChallGoal,noConseqGoal,conseqGoal,grpSizeTooLarge,grpSizeTooSmall,grpSizeJustRight,grpDivers,grpSkill,grpAffectExp,genSat,growth,colEff,socPres,coordDifficult,coordPossible,identFusion,relationStrain,unevenEffort,unevenSkill,noCareForGrp,frustratingGrp,creativitySuppressingGrp
session_43-MP,END,iism-kd2-b12,915,"",session_43-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,4.04761904761905,3.71428571428571,4.28571428571429,4.14285714285714,,,,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,END,iism-kd2-b14,916,"",session_43-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,4.04761904761905,3.71428571428571,3.85714285714286,4.57142857142857,,,,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_43-MP,END,iism-kd2-b18,917,"",session_43-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,3.47619047619048,3.85714285714286,3.14285714285714,3.42857142857143,,,,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,START,iism-kd2-b12,928,"",session_44-MP_iism-kd2-b12,MP,23,M,R,German,C2,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,Y,Y,"",Y,Y,"",7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,START,iism-kd2-b14,930,"",session_44-MP_iism-kd2-b14,MP,21,M,L,Portuguese,C2,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,Y,"","","",Y,"",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,START,iism-kd2-b18,929,"",session_44-MP_iism-kd2-b18,MP,27,F,R,German,B2,I can see all colors and hues.,Humanities > Languages and literature,Y,"","","","",Y,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,PHASE,iism-kd2-b12,953,"",session_44-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,2,5,2,,,,,6,6,7,,,,,2,3,5,2,4.5,4.66666666666667,6,3,5,5,3,5,5,5,5,3,6,6,4.33333333333333,4,5,4.5,5,3.6,3,6,3,4,5,3,2,3,2
session_44-MP,PHASE,iism-kd2-b14,954,"",session_44-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,3,6,2,,,,,6,6,7,,,,,3,2,3,5,4,3.33333333333333,3,4,6,3,2,6,6,4,5,3,3,5,3,4.66666666666667,3,3.5,4,4.4,3,5,2,3,5,5,2,5,5
session_44-MP,PHASE,iism-kd2-b18,955,"",session_44-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,6,7,6,,,,,4,4,4,,,,,3,2,2,4,2.5,3.33333333333333,3,4,2,3.5,3,3,4,4,1,3,4,4.5,3.66666666666667,3.66666666666667,3.5,3.5,3,3.4,5,4,4,3,4,4,3,4,4
session_44-MP,END,iism-kd2-b12,959,"",session_44-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,3.76190476190476,4.28571428571429,2.85714285714286,4.14285714285714,,,,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,END,iism-kd2-b14,958,"",session_44-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,3.57142857142857,3.71428571428571,3.71428571428571,3.28571428571429,,,,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-MP,END,iism-kd2-b18,957,"",session_44-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,3.71428571428571,3.85714285714286,3.57142857142857,3.71428571428571,,,,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-SP,START,iism-kd2-b16,927,"",session_44-SP_iism-kd2-b16,SP,21,M,R,German,C1,I can see all colors and hues.,"Engineering and Technology > Electrical engineering, electronic engineering, information engineering",Y,"","","","",Y,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-SP,PHASE,iism-kd2-b16,944,"",session_44-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,1,3,1,,,,,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_44-SP,END,iism-kd2-b16,945,"",session_44-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,,,,3.66666666666667,3.71428571428571,3.71428571428571,3.57142857142857,,,,5,1,7,4.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,START,iism-kd2-b12,966,"",session_45-MP_iism-kd2-b12,MP,19,F,R,German,B2,I can see all colors and hues.,Medical and Health Sciences > Health sciences,"","",Y,Y,"",Y,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,START,iism-kd2-b14,965,"",session_45-MP_iism-kd2-b14,MP,22,F,R,German,C1,I can see all colors and hues.,"Engineering and Technology > Electrical engineering, electronic engineering, information engineering",Y,Y,"","",Y,"",7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,START,iism-kd2-b18,964,"",session_45-MP_iism-kd2-b18,MP,23,F,R,German,C1,I can see all colors and hues.,Engineering and Technology > Environmental engineering,"",Y,"","","",Y,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,PHASE,iism-kd2-b12,,"",session_45-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,PHASE,iism-kd2-b14,,"",session_45-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,PHASE,iism-kd2-b18,,"",session_45-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,END,iism-kd2-b12,,"",session_45-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,END,iism-kd2-b14,,"",session_45-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-MP,END,iism-kd2-b18,,"",session_45-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-SP,START,iism-kd2-b16,963,"",session_45-SP_iism-kd2-b16,SP,21,F,R,Portuguese,C1,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,"","","","","",Y,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-SP,PHASE,iism-kd2-b16,977,"",session_45-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,5,6,4,,,,,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_45-SP,END,iism-kd2-b16,978,"",session_45-SP_iism-kd2-b16,SP,,"","","","","","","","","","","","",,,,,,3.85714285714286,3.71428571428571,3.57142857142857,4.28571428571429,,,,6,2,5,5.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_46-SP,START,iism-kd2-b14,982,"",session_46-SP_iism-kd2-b14,SP,28,M,L,Spanish,C2,I can see all colors and hues.,Engineering and Technology > Civil engineering,"","",Y,"",Y,"",6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_46-SP,PHASE,iism-kd2-b14,993,"",session_46-SP_iism-kd2-b14,SP,,"","","","","","","","","","","","",,,4,7,6,,,,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_46-SP,END,iism-kd2-b14,995,"",session_46-SP_iism-kd2-b14,SP,,"","","","","","","","","","","","",,,,,,4.57142857142857,4.57142857142857,,4.28571428571429,,,,5,3,5,5.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_47-MP,START,iism-kd2-b12,1007,"",session_47-MP_iism-kd2-b12,MP,25,F,R,German,C2,I can see all colors and hues.,Engineering and Technology > Environmental engineering,Y,Y,"","","","",7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_47-MP,START,iism-kd2-b14,1006,"",session_47-MP_iism-kd2-b14,MP,22,F,R,Czech,C2,I can see all colors and hues.,Engineering and Technology > Other engineering and technologiy,Y,Y,"","","","",7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_47-MP,START,iism-kd2-b18,1005,"",session_47-MP_iism-kd2-b18,MP,27,M,R,Russian,B2,I can see all colors and hues.,Social Sciences > Economics and business,"","","","","",Y,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_47-MP,PHASE,iism-kd2-b12,1026,"",session_47-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,2,4,2,,,,,6,6,6,,,,,1,3,2,5,3,4.66666666666667,2,5,3,6,4,3,7,4,,1,,6,4,4.33333333333333,5,1,4.25,2.4,5,3,3,1,3,4,5,2,4
session_47-MP,PHASE,iism-kd2-b14,1028,"",session_47-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,6,6,5,,,,,6,6,6,,,,,1,3,6,7,5,6,2,5,7,6,3,3,4,6,3,4,5,5,4.66666666666667,4,5.5,4.5,5.5,4.6,3,5,3,4,3,3,5,1,2
session_47-MP,PHASE,iism-kd2-b18,1027,"",session_47-MP_iism-kd2-b18,MP,,"","","","","","","","","","","","",,,5,6,6,,,,,2,2,5,,,,,1,2,5,2,5,5.33333333333333,5,5,5,6,5,4,3,5,2,2,5,5.5,5.33333333333333,5,5.5,5,4.25,4.6,6,6,4,2,2,2,3,2,2
session_47-MP,END,iism-kd2-b12,1029,"",session_47-MP_iism-kd2-b12,MP,,"","","","","","","","","","","","",,,,,,3.52380952380952,4.14285714285714,,3.85714285714286,,,,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_47-MP,END,iism-kd2-b14,1031,"",session_47-MP_iism-kd2-b14,MP,,"","","","","","","","","","","","",,,,,,4.0952380952381,3.57142857142857,4.42857142857143,4.28571428571429,,,,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
